session_id	original_session_id
ses-G201208+1p+0	ses-G201208:1p_0
ses-G201208+1p+11	ses-G201208:1p_11
ses-G201208+1p+142	ses-G201208:1p_142
ses-G201208+1p+99	ses-G201208:1p_99
ses-G201208+2p+110	ses-G201208:2p_110
ses-G201208+2p+136	ses-G201208:2p_136
ses-G201208+2p+154	ses-G201208:2p_154
ses-G201208+2p+233	ses-G201208:2p_233
ses-G201208+2p+234	ses-G201208:2p_234
ses-G201208+2p+292	ses-G201208:2p_292
ses-G201208+2p+350	ses-G201208:2p_350
ses-G201208+2p+423	ses-G201208:2p_423
ses-G201208+2p+548	ses-G201208:2p_548
ses-G201208+2p+567	ses-G201208:2p_567
ses-G201208+2p+689	ses-G201208:2p_689
ses-G201208+2p+704	ses-G201208:2p_704
ses-G201208+2p+743	ses-G201208:2p_743
ses-G201208+2p+830	ses-G201208:2p_830
ses-G201208+3p+205	ses-G201208:3p_205
ses-G201208+3p+330	ses-G201208:3p_330
ses-G201208+4p+211	ses-G201208:4p_211
ses-G201208+4p+380	ses-G201208:4p_380
ses-G201208+4p+415	ses-G201208:4p_415
