session_id	original_session_id
ses-G220901+1p+130	ses-G220901:1p_130
ses-G220901+1p+255	ses-G220901:1p_255
ses-G220901+1p+314	ses-G220901:1p_314
ses-G220901+1p+336	ses-G220901:1p_336
ses-G220901+1p+393	ses-G220901:1p_393
ses-G220901+1p+588	ses-G220901:1p_588
ses-G220901+1p+623	ses-G220901:1p_623
ses-G220901+1p+653	ses-G220901:1p_653
ses-G220901+1p+704	ses-G220901:1p_704
ses-G220901+2p+205	ses-G220901:2p_205
ses-G220901+2p+285	ses-G220901:2p_285
ses-G220901+2p+355	ses-G220901:2p_355
ses-G220901+2p+420	ses-G220901:2p_420
ses-G220901+2p+596	ses-G220901:2p_596
ses-G220901+3p+235	ses-G220901:3p_235
ses-G220901+3p+263	ses-G220901:3p_263
ses-G220901+3p+419	ses-G220901:3p_419
ses-G220901+3p+453	ses-G220901:3p_453
ses-G220901+3p+519	ses-G220901:3p_519
ses-G220901+3p+776	ses-G220901:3p_776
ses-G220901+3p+831	ses-G220901:3p_831
ses-G220901+3p+886	ses-G220901:3p_886
ses-G220901+4p+515	ses-G220901:4p_515
ses-G220901+4p+540	ses-G220901:4p_540
ses-G220901+4p+770	ses-G220901:4p_770
ses-G220901+4p+815	ses-G220901:4p_815
