session_id	original_session_id
ses-G151126+1140nm	ses-G151126:1140nm
ses-G151126+1183nm	ses-G151126:1183nm
ses-G151126+1216nm	ses-G151126:1216nm
ses-G151126+1237nm	ses-G151126:1237nm
ses-G151126+1259nm	ses-G151126:1259nm
ses-G151126+1341nm	ses-G151126:1341nm
ses-G151126+452nm	ses-G151126:452nm
ses-G151126+459nm	ses-G151126:459nm
ses-G151126+462nm	ses-G151126:462nm
ses-G151126+479nm	ses-G151126:479nm
ses-G151126+526nm	ses-G151126:526nm
ses-G151126+565nm	ses-G151126:565nm
ses-G151126+597nm	ses-G151126:597nm
ses-G151126+607nm	ses-G151126:607nm
ses-G151126+633nm	ses-G151126:633nm
ses-G151126+650nm	ses-G151126:650nm
ses-G151126+809nm	ses-G151126:809nm
ses-G151126+841nm	ses-G151126:841nm
ses-G151126+885nm	ses-G151126:885nm
ses-G151126+891nm	ses-G151126:891nm
ses-G151126+893nm	ses-G151126:893nm
ses-G151126+903nm	ses-G151126:903nm
ses-G151126+935nm	ses-G151126:935nm
ses-G151126+945nm	ses-G151126:945nm
ses-G151126+998nm	ses-G151126:998nm
