session_id	original_session_id
ses-G150922+1P+421nm	ses-G150922:1P_421nm
ses-G150922+1P+463nm	ses-G150922:1P_463nm
ses-G150922+1P+480nm	ses-G150922:1P_480nm
ses-G150922+1P+510nm	ses-G150922:1P_510nm
ses-G150922+1P+695nm	ses-G150922:1P_695nm
ses-G150922+1P+702nm	ses-G150922:1P_702nm
ses-G150922+1P+734nm	ses-G150922:1P_734nm
ses-G150922+1P+793nm	ses-G150922:1P_793nm
ses-G150922+1P+891nm	ses-G150922:1P_891nm
ses-G150922+1P+910nm	ses-G150922:1P_910nm
ses-G150922+1P+921nm	ses-G150922:1P_921nm
ses-G150922+1P+950nm	ses-G150922:1P_950nm
ses-G150922+2P+197nm	ses-G150922:2P_197nm
ses-G150922+2P+538nm	ses-G150922:2P_538nm
ses-G150922+3P+711nm	ses-G150922:3P_711nm
ses-G150922+3P+827nm	ses-G150922:3P_827nm
ses-G150922+3P+888nm	ses-G150922:3P_888nm
ses-G150922+4P+346nm	ses-G150922:4P_346nm
ses-G150922+4P+458nm	ses-G150922:4P_458nm
ses-G150922+4P+532nm	ses-G150922:4P_532nm
ses-G150922+4P+896nm	ses-G150922:4P_896nm
