session_id	original_session_id
ses-G200623+1p+225	ses-G200623:1p_225
ses-G200623+1p+294	ses-G200623:1p_294
ses-G200623+1p+400	ses-G200623:1p_400
ses-G200623+1p+555	ses-G200623:1p_555
ses-G200623+1p+570	ses-G200623:1p_570
ses-G200623+1p+595	ses-G200623:1p_595
ses-G200623+1p+610	ses-G200623:1p_610
ses-G200623+1p+72	ses-G200623:1p_72
ses-G200623+2p+134	ses-G200623:2p_134
ses-G200623+2p+145	ses-G200623:2p_145
ses-G200623+2p+156	ses-G200623:2p_156
ses-G200623+2p+16	ses-G200623:2p_16
ses-G200623+2p+201	ses-G200623:2p_201
ses-G200623+2p+300	ses-G200623:2p_300
ses-G200623+2p+40	ses-G200623:2p_40
ses-G200623+3p+545	ses-G200623:3p_545
ses-G200623+3p+764	ses-G200623:3p_764
