session_id	original_session_id
ses-G170512+10P+147	ses-G170512:10P_147
ses-G170512+10P+301	ses-G170512:10P_301
ses-G170512+10P+442	ses-G170512:10P_442
ses-G170512+10P+605	ses-G170512:10P_605
ses-G170512+10P+85	ses-G170512:10P_85
ses-G170512+2P+244	ses-G170512:2P_244
ses-G170512+2P+375	ses-G170512:2P_375
ses-G170512+2P+733	ses-G170512:2P_733
ses-G170512+2P+820	ses-G170512:2P_820
ses-G170512+3P+151	ses-G170512:3P_151
ses-G170512+3P+177	ses-G170512:3P_177
ses-G170512+3P+330	ses-G170512:3P_330
ses-G170512+3P+557	ses-G170512:3P_557
ses-G170512+3P+567	ses-G170512:3P_567
ses-G170512+3P+588	ses-G170512:3P_588
ses-G170512+3P+63	ses-G170512:3P_63
ses-G170512+3P+688	ses-G170512:3P_688
ses-G170512+3P+863	ses-G170512:3P_863
ses-G170512+3P+884	ses-G170512:3P_884
ses-G170512+4P+321	ses-G170512:4P_321
ses-G170512+5P+116	ses-G170512:5P_116
ses-G170512+6P+192	ses-G170512:6P_192
ses-G170512+7P+1067	ses-G170512:7P_1067
ses-G170512+7P+979	ses-G170512:7P_979
ses-G170512+8P+288	ses-G170512:8P_288
ses-G170512+9P+597	ses-G170512:9P_597
