session_id	original_session_id
ses-G200213+1p+1005	ses-G200213:1p_1005
ses-G200213+1p+175	ses-G200213:1p_175
ses-G200213+1p+242	ses-G200213:1p_242
ses-G200213+1p+342	ses-G200213:1p_342
ses-G200213+1p+423	ses-G200213:1p_423
ses-G200213+1p+520	ses-G200213:1p_520
ses-G200213+1p+629	ses-G200213:1p_629
ses-G200213+2p+109	ses-G200213:2p_109
ses-G200213+2p+154	ses-G200213:2p_154
ses-G200213+2p+187	ses-G200213:2p_187
ses-G200213+2p+46	ses-G200213:2p_46
ses-G200213+2p+48	ses-G200213:2p_48
ses-G200213+2p+70	ses-G200213:2p_70
ses-G200213+2p+97	ses-G200213:2p_97
ses-G200213+3p+50	ses-G200213:3p_50
ses-G200213+4p+365	ses-G200213:4p_365
ses-G200213+5p+378	ses-G200213:5p_378
ses-G200213+5p+80	ses-G200213:5p_80
