session_id	original_session_id
ses-G240111+1p+19	ses-G240111:1p_19
ses-G240111+1p+20	ses-G240111:1p_20
ses-G240111+1p+254	ses-G240111:1p_254
ses-G240111+1p+31	ses-G240111:1p_31
ses-G240111+1p+32	ses-G240111:1p_32
ses-G240111+1p+41	ses-G240111:1p_41
ses-G240111+1p+56	ses-G240111:1p_56
ses-G240111+1p+84	ses-G240111:1p_84
ses-G240111+2p+749	ses-G240111:2p_749
ses-G240111+2p+967	ses-G240111:2p_967
ses-G240111+2p+977	ses-G240111:2p_977
ses-G240111+3p+450	ses-G240111:3p_450
ses-G240111+3p+463	ses-G240111:3p_463
ses-G240111+3p+647	ses-G240111:3p_647
ses-G240111+4p+33	ses-G240111:4p_33
ses-G240111+4p+55	ses-G240111:4p_55
ses-G240111+4p+9	ses-G240111:4p_9
