session_id	original_session_id
ses-G211221+1p+350	ses-G211221:1p_350
ses-G211221+1p+719	ses-G211221:1p_719
ses-G211221+1p+738	ses-G211221:1p_738
ses-G211221+1p+754	ses-G211221:1p_754
ses-G211221+2p+296	ses-G211221:2p_296
ses-G211221+2p+354	ses-G211221:2p_354
ses-G211221+2p+406	ses-G211221:2p_406
ses-G211221+2p+444	ses-G211221:2p_444
ses-G211221+2p+509	ses-G211221:2p_509
ses-G211221+2p+525	ses-G211221:2p_525
ses-G211221+2p+571	ses-G211221:2p_571
ses-G211221+2p+624	ses-G211221:2p_624
ses-G211221+2p+670	ses-G211221:2p_670
ses-G211221+2p+765	ses-G211221:2p_765
ses-G211221+2p+779	ses-G211221:2p_779
ses-G211221+2p+800	ses-G211221:2p_800
ses-G211221+2p+811	ses-G211221:2p_811
ses-G211221+2p+841	ses-G211221:2p_841
ses-G211221+2p+890	ses-G211221:2p_890
