session_id	original_session_id
ses-G201210+1p+187	ses-G201210:1p_187
ses-G201210+1p+252	ses-G201210:1p_252
ses-G201210+1p+302	ses-G201210:1p_302
ses-G201210+1p+361	ses-G201210:1p_361
ses-G201210+1p+519	ses-G201210:1p_519
ses-G201210+1p+688	ses-G201210:1p_688
ses-G201210+1p+714	ses-G201210:1p_714
ses-G201210+1p+778	ses-G201210:1p_778
ses-G201210+2p+370	ses-G201210:2p_370
ses-G201210+2p+556	ses-G201210:2p_556
ses-G201210+2p+756	ses-G201210:2p_756
ses-G201210+2p+773	ses-G201210:2p_773
ses-G201210+3p+227	ses-G201210:3p_227
ses-G201210+3p+278	ses-G201210:3p_278
