session_id	original_session_id
ses-G190617+1p+163	ses-G190617:1p_163
ses-G190617+1p+203	ses-G190617:1p_203
ses-G190617+1p+242	ses-G190617:1p_242
ses-G190617+1p+308	ses-G190617:1p_308
ses-G190617+1p+362	ses-G190617:1p_362
ses-G190617+1p+381	ses-G190617:1p_381
ses-G190617+1p+671	ses-G190617:1p_671
ses-G190617+1p+82	ses-G190617:1p_82
ses-G190617+2p+144	ses-G190617:2p_144
ses-G190617+2p+17	ses-G190617:2p_17
ses-G190617+2p+281	ses-G190617:2p_281
ses-G190617+2p+346	ses-G190617:2p_346
ses-G190617+2p+415	ses-G190617:2p_415
ses-G190617+2p+49	ses-G190617:2p_49
ses-G190617+2p+500	ses-G190617:2p_500
ses-G190617+2p+557	ses-G190617:2p_557
ses-G190617+2p+643	ses-G190617:2p_643
ses-G190617+2p+67	ses-G190617:2p_67
ses-G190617+2p+686	ses-G190617:2p_686
ses-G190617+2p+98	ses-G190617:2p_98
ses-G190617+3p+124	ses-G190617:3p_124
ses-G190617+3p+287	ses-G190617:3p_287
ses-G190617+3p+317	ses-G190617:3p_317
ses-G190617+3p+323	ses-G190617:3p_323
ses-G190617+3p+358	ses-G190617:3p_358
ses-G190617+3p+473	ses-G190617:3p_473
ses-G190617+3p+65	ses-G190617:3p_65
ses-G190617+3p+690	ses-G190617:3p_690
ses-G190617+3p+735	ses-G190617:3p_735
