session_id	original_session_id
ses-G180406+1p+1	ses-G180406:1p_1
ses-G180406+1p+2	ses-G180406:1p_2
ses-G180406+1p+709nm	ses-G180406:1p_709nm
ses-G180406+1p+739nm	ses-G180406:1p_739nm
ses-G180406+1p+805	ses-G180406:1p_805
ses-G180406+2p+531nm	ses-G180406:2p_531nm
ses-G180406+2p+596nm	ses-G180406:2p_596nm
ses-G180406+2p+736nm	ses-G180406:2p_736nm
ses-G180406+2p+797nm	ses-G180406:2p_797nm
ses-G180406+3p+242nm	ses-G180406:3p_242nm
ses-G180406+3p+25nm	ses-G180406:3p_25nm
ses-G180406+3p+287nm	ses-G180406:3p_287nm
ses-G180406+3p+435nm	ses-G180406:3p_435nm
ses-G180406+3p+511nm	ses-G180406:3p_511nm
ses-G180406+3p+93nm	ses-G180406:3p_93nm
ses-G180406+4p+2nm	ses-G180406:4p_2nm
ses-G180406+6p+324nm	ses-G180406:6p_324nm
ses-G180406+7p+710nm	ses-G180406:7p_710nm
ses-G180406+7p+715nm	ses-G180406:7p_715nm
ses-G180406+8p+835nm	ses-G180406:8p_835nm
ses-G180406+9p+857nm	ses-G180406:9p_857nm
ses-G180406+9p+963nm	ses-G180406:9p_963nm
