session_id	original_session_id
ses-G190603+1p+1049	ses-G190603:1p_1049
ses-G190603+1p+1064	ses-G190603:1p_1064
ses-G190603+1p+1099	ses-G190603:1p_1099
ses-G190603+1p+117	ses-G190603:1p_117
ses-G190603+1p+180	ses-G190603:1p_180
ses-G190603+1p+192	ses-G190603:1p_192
ses-G190603+1p+243	ses-G190603:1p_243
ses-G190603+1p+265	ses-G190603:1p_265
ses-G190603+1p+285	ses-G190603:1p_285
ses-G190603+1p+374	ses-G190603:1p_374
ses-G190603+1p+422	ses-G190603:1p_422
ses-G190603+1p+505	ses-G190603:1p_505
ses-G190603+1p+584	ses-G190603:1p_584
ses-G190603+1p+82	ses-G190603:1p_82
ses-G190603+1p+974	ses-G190603:1p_974
ses-G190603+2p+299	ses-G190603:2p_299
ses-G190603+2p+690	ses-G190603:2p_690
ses-G190603+2p+743	ses-G190603:2p_743
ses-G190603+2p+767	ses-G190603:2p_767
ses-G190603+2p+922	ses-G190603:2p_922
ses-G190603+3p+115	ses-G190603:3p_115
ses-G190603+3p+260	ses-G190603:3p_260
ses-G190603+3p+305	ses-G190603:3p_305
ses-G190603+3p+495	ses-G190603:3p_495
ses-G190603+3p+89	ses-G190603:3p_89
