session_id	original_session_id
ses-G200225+1p+330	ses-G200225:1p_330
ses-G200225+2p+120	ses-G200225:2p_120
ses-G200225+2p+127	ses-G200225:2p_127
ses-G200225+2p+192	ses-G200225:2p_192
ses-G200225+2p+275	ses-G200225:2p_275
ses-G200225+2p+327	ses-G200225:2p_327
ses-G200225+2p+356	ses-G200225:2p_356
ses-G200225+2p+428	ses-G200225:2p_428
ses-G200225+2p+498	ses-G200225:2p_498
ses-G200225+2p+654	ses-G200225:2p_654
ses-G200225+2p+751	ses-G200225:2p_751
ses-G200225+2p+767	ses-G200225:2p_767
ses-G200225+2p+797	ses-G200225:2p_797
ses-G200225+3p+1123	ses-G200225:3p_1123
ses-G200225+3p+1144	ses-G200225:3p_1144
ses-G200225+3p+1155	ses-G200225:3p_1155
ses-G200225+3p+384	ses-G200225:3p_384
ses-G200225+3p+427	ses-G200225:3p_427
ses-G200225+3p+440	ses-G200225:3p_440
