session_id	original_session_id
ses-G220201+1p+444	ses-G220201:1p_444
ses-G220201+1p+485	ses-G220201:1p_485
ses-G220201+2p+0	ses-G220201:2p_0
ses-G220201+2p+126	ses-G220201:2p_126
ses-G220201+2p+151	ses-G220201:2p_151
ses-G220201+2p+364	ses-G220201:2p_364
ses-G220201+2p+398	ses-G220201:2p_398
ses-G220201+2p+448	ses-G220201:2p_448
ses-G220201+2p+81	ses-G220201:2p_81
ses-G220201+3p+120	ses-G220201:3p_120
ses-G220201+3p+200	ses-G220201:3p_200
ses-G220201+3p+266	ses-G220201:3p_266
ses-G220201+3p+360	ses-G220201:3p_360
ses-G220201+3p+40	ses-G220201:3p_40
ses-G220201+3p+485	ses-G220201:3p_485
ses-G220201+4p+317	ses-G220201:4p_317
ses-G220201+4p+527	ses-G220201:4p_527
ses-G220201+4p+561	ses-G220201:4p_561
ses-G220201+4p+583	ses-G220201:4p_583
ses-G220201+4p+623	ses-G220201:4p_623
ses-G220201+4p+648	ses-G220201:4p_648
