session_id	original_session_id
ses-G201103+1p+144	ses-G201103:1p_144
ses-G201103+1p+232	ses-G201103:1p_232
ses-G201103+1p+25	ses-G201103:1p_25
ses-G201103+1p+6	ses-G201103:1p_6
ses-G201103+2p+183	ses-G201103:2p_183
ses-G201103+2p+215	ses-G201103:2p_215
ses-G201103+2p+248	ses-G201103:2p_248
ses-G201103+2p+260	ses-G201103:2p_260
ses-G201103+2p+278	ses-G201103:2p_278
ses-G201103+2p+364	ses-G201103:2p_364
ses-G201103+2p+408	ses-G201103:2p_408
ses-G201103+2p+46	ses-G201103:2p_46
ses-G201103+2p+492	ses-G201103:2p_492
ses-G201103+2p+538	ses-G201103:2p_538
ses-G201103+2p+699	ses-G201103:2p_699
ses-G201103+2p+725	ses-G201103:2p_725
ses-G201103+2p+745	ses-G201103:2p_745
ses-G201103+2p+759	ses-G201103:2p_759
ses-G201103+2p+797	ses-G201103:2p_797
ses-G201103+3p+545	ses-G201103:3p_545
ses-G201103+3p+610	ses-G201103:3p_610
ses-G201103+3p+614	ses-G201103:3p_614
ses-G201103+3p+745	ses-G201103:3p_745
ses-G201103+3p+896	ses-G201103:3p_896
