session_id	original_session_id
ses-G191115+1p+1007	ses-G191115:1p_1007
ses-G191115+1p+1017	ses-G191115:1p_1017
ses-G191115+1p+1048	ses-G191115:1p_1048
ses-G191115+1p+1092	ses-G191115:1p_1092
ses-G191115+1p+1103	ses-G191115:1p_1103
ses-G191115+1p+279	ses-G191115:1p_279
ses-G191115+1p+295	ses-G191115:1p_295
ses-G191115+1p+379	ses-G191115:1p_379
ses-G191115+1p+454	ses-G191115:1p_454
ses-G191115+1p+584	ses-G191115:1p_584
ses-G191115+1p+588	ses-G191115:1p_588
ses-G191115+1p+716	ses-G191115:1p_716
ses-G191115+2p+319	ses-G191115:2p_319
ses-G191115+2p+371	ses-G191115:2p_371
ses-G191115+2p+381	ses-G191115:2p_381
ses-G191115+2p+461	ses-G191115:2p_461
ses-G191115+2p+469	ses-G191115:2p_469
ses-G191115+2p+523	ses-G191115:2p_523
ses-G191115+3p+72	ses-G191115:3p_72
