session_id	original_session_id
ses-G150730+1P+465nm	ses-G150730:1P_465nm
ses-G150730+1P+675nm	ses-G150730:1P_675nm
ses-G150730+2P+780nm	ses-G150730:2P_780nm
ses-G150730+2P+975nm	ses-G150730:2P_975nm
ses-G150730+6P+1035nm	ses-G150730:6P_1035nm
ses-G150730+6P+1365nm	ses-G150730:6P_1365nm
ses-G150730+6P+1420nm	ses-G150730:6P_1420nm
ses-G150730+6P+1425nm	ses-G150730:6P_1425nm
ses-G150730+6P+1545nm	ses-G150730:6P_1545nm
ses-G150730+6P+930nm	ses-G150730:6P_930nm
ses-G150730+6P+975nm	ses-G150730:6P_975nm
ses-G150730+7P+930nm	ses-G150730:7P_930nm
ses-G150730+7P+960nm	ses-G150730:7P_960nm
