session_id	original_session_id
ses-G151203+1P+1007nm	ses-G151203:1P_1007nm
ses-G151203+1P+1023nm	ses-G151203:1P_1023nm
ses-G151203+1P+1060nm	ses-G151203:1P_1060nm
ses-G151203+1P+1075nm	ses-G151203:1P_1075nm
ses-G151203+1P+1104nm	ses-G151203:1P_1104nm
ses-G151203+1P+349nm	ses-G151203:1P_349nm
ses-G151203+1P+532nm	ses-G151203:1P_532nm
ses-G151203+1P+767nm	ses-G151203:1P_767nm
ses-G151203+1P+799nm	ses-G151203:1P_799nm
ses-G151203+1P+831nm	ses-G151203:1P_831nm
ses-G151203+1P+943nm	ses-G151203:1P_943nm
ses-G151203+1P+987nm	ses-G151203:1P_987nm
ses-G151203+2P+454nm	ses-G151203:2P_454nm
ses-G151203+2P+515nm	ses-G151203:2P_515nm
ses-G151203+2P+577nm	ses-G151203:2P_577nm
ses-G151203+2P+805nm	ses-G151203:2P_805nm
ses-G151203+2P+816nm	ses-G151203:2P_816nm
ses-G151203+2P+884nm	ses-G151203:2P_884nm
ses-G151203+3P+452nm	ses-G151203:3P_452nm
ses-G151203+3P+516nm	ses-G151203:3P_516nm
ses-G151203+3P+706nm	ses-G151203:3P_706nm
ses-G151203+3P+755nm	ses-G151203:3P_755nm
