session_id	original_session_id
ses-G190129+1P+831nm	ses-G190129:1P_831nm
ses-G190129+2P+149nm	ses-G190129:2P_149nm
ses-G190129+2P+318nm	ses-G190129:2P_318nm
ses-G190129+3P+137nm	ses-G190129:3P_137nm
ses-G190129+3P+76nm	ses-G190129:3P_76nm
ses-G190129+4P+230nm	ses-G190129:4P_230nm
ses-G190129+6P+0nm	ses-G190129:6P_0nm
ses-G190129+6P+55nm	ses-G190129:6P_55nm
ses-G190129+6P+91nm	ses-G190129:6P_91nm
ses-G190129+6P+96nm	ses-G190129:6P_96nm
ses-G190129+7P+515nm	ses-G190129:7P_515nm
ses-G190129+7P+904nm	ses-G190129:7P_904nm
