session_id	original_session_id
ses-G231218+1p+0	ses-G231218:1p_0
ses-G231218+1p+13	ses-G231218:1p_13
ses-G231218+1p+161	ses-G231218:1p_161
ses-G231218+1p+186	ses-G231218:1p_186
ses-G231218+1p+243	ses-G231218:1p_243
ses-G231218+1p+321	ses-G231218:1p_321
ses-G231218+1p+330	ses-G231218:1p_330
ses-G231218+1p+355	ses-G231218:1p_355
ses-G231218+1p+416	ses-G231218:1p_416
ses-G231218+1p+549	ses-G231218:1p_549
ses-G231218+1p+593	ses-G231218:1p_593
ses-G231218+2p+166	ses-G231218:2p_166
ses-G231218+2p+250	ses-G231218:2p_250
ses-G231218+2p+523	ses-G231218:2p_523
ses-G231218+2p+582	ses-G231218:2p_582
ses-G231218+2p+727	ses-G231218:2p_727
ses-G231218+2p+837	ses-G231218:2p_837
ses-G231218+2p+851	ses-G231218:2p_851
ses-G231218+2p+935	ses-G231218:2p_935
ses-G231218+3p+225	ses-G231218:3p_225
ses-G231218+3p+300	ses-G231218:3p_300
ses-G231218+3p+313	ses-G231218:3p_313
ses-G231218+3p+38	ses-G231218:3p_38
ses-G231218+3p+428	ses-G231218:3p_428
ses-G231218+3p+490	ses-G231218:3p_490
ses-G231218+3p+525	ses-G231218:3p_525
ses-G231218+4p+56	ses-G231218:4p_56
