session_id	original_session_id
ses-G211118+1p+140	ses-G211118:1p_140
ses-G211118+1p+177	ses-G211118:1p_177
ses-G211118+1p+202	ses-G211118:1p_202
ses-G211118+1p+238	ses-G211118:1p_238
ses-G211118+1p+486	ses-G211118:1p_486
ses-G211118+1p+511	ses-G211118:1p_511
ses-G211118+1p+575	ses-G211118:1p_575
ses-G211118+1p+622	ses-G211118:1p_622
ses-G211118+1p+747	ses-G211118:1p_747
ses-G211118+1p+787	ses-G211118:1p_787
ses-G211118+1p+812	ses-G211118:1p_812
ses-G211118+1p+831	ses-G211118:1p_831
ses-G211118+1p+891	ses-G211118:1p_891
ses-G211118+1p+906	ses-G211118:1p_906
