session_id	original_session_id
ses-G201215+1p+112	ses-G201215:1p_112
ses-G201215+1p+16	ses-G201215:1p_16
ses-G201215+1p+162	ses-G201215:1p_162
ses-G201215+1p+225	ses-G201215:1p_225
ses-G201215+1p+305	ses-G201215:1p_305
ses-G201215+1p+323	ses-G201215:1p_323
ses-G201215+1p+405	ses-G201215:1p_405
ses-G201215+1p+506	ses-G201215:1p_506
ses-G201215+1p+68	ses-G201215:1p_68
ses-G201215+1p+88	ses-G201215:1p_88
ses-G201215+2p+190	ses-G201215:2p_190
ses-G201215+2p+216	ses-G201215:2p_216
ses-G201215+2p+259	ses-G201215:2p_259
ses-G201215+2p+599	ses-G201215:2p_599
ses-G201215+3p+133	ses-G201215:3p_133
ses-G201215+3p+203	ses-G201215:3p_203
ses-G201215+3p+283	ses-G201215:3p_283
ses-G201215+3p+315	ses-G201215:3p_315
ses-G201215+3p+85	ses-G201215:3p_85
