session_id	original_session_id
ses-G200528+1p+1146	ses-G200528:1p_1146
ses-G200528+1p+412	ses-G200528:1p_412
ses-G200528+1p+447	ses-G200528:1p_447
ses-G200528+1p+520	ses-G200528:1p_520
ses-G200528+1p+561	ses-G200528:1p_561
ses-G200528+1p+731	ses-G200528:1p_731
ses-G200528+1p+806	ses-G200528:1p_806
ses-G200528+1p+826	ses-G200528:1p_826
ses-G200528+1p+846	ses-G200528:1p_846
ses-G200528+2p+105	ses-G200528:2p_105
ses-G200528+2p+231	ses-G200528:2p_231
ses-G200528+2p+265	ses-G200528:2p_265
ses-G200528+2p+295	ses-G200528:2p_295
ses-G200528+2p+522	ses-G200528:2p_522
ses-G200528+2p+557	ses-G200528:2p_557
ses-G200528+2p+602	ses-G200528:2p_602
