session_id	original_session_id
ses-G151001+1P+1034nm	ses-G151001:1P_1034nm
ses-G151001+1P+258nm	ses-G151001:1P_258nm
ses-G151001+1P+332nm	ses-G151001:1P_332nm
ses-G151001+1P+378nm	ses-G151001:1P_378nm
ses-G151001+1P+404nm	ses-G151001:1P_404nm
ses-G151001+1P+423nm	ses-G151001:1P_423nm
ses-G151001+1P+438nm	ses-G151001:1P_438nm
ses-G151001+1P+476nm	ses-G151001:1P_476nm
ses-G151001+1P+493nm	ses-G151001:1P_493nm
ses-G151001+1P+505nm	ses-G151001:1P_505nm
ses-G151001+1P+556nm	ses-G151001:1P_556nm
ses-G151001+1P+608nm	ses-G151001:1P_608nm
ses-G151001+1P+621nm	ses-G151001:1P_621nm
ses-G151001+1P+677nm	ses-G151001:1P_677nm
ses-G151001+1P+692nm	ses-G151001:1P_692nm
ses-G151001+1P+696nm	ses-G151001:1P_696nm
ses-G151001+1P+714nm	ses-G151001:1P_714nm
ses-G151001+1P+791nm	ses-G151001:1P_791nm
ses-G151001+1P+852nm	ses-G151001:1P_852nm
ses-G151001+1P+899nm	ses-G151001:1P_899nm
ses-G151001+1P+906nm	ses-G151001:1P_906nm
ses-G151001+1P+938nm	ses-G151001:1P_938nm
ses-G151001+1P+946nm	ses-G151001:1P_946nm
ses-G151001+2P+820+nm	ses-G151001:2P_820 nm
