session_id	original_session_id
ses-G220908+1p+242	ses-G220908:1p_242
ses-G220908+1p+273	ses-G220908:1p_273
ses-G220908+1p+418	ses-G220908:1p_418
ses-G220908+1p+433	ses-G220908:1p_433
ses-G220908+1p+468	ses-G220908:1p_468
ses-G220908+1p+537	ses-G220908:1p_537
ses-G220908+1p+602	ses-G220908:1p_602
ses-G220908+1p+667	ses-G220908:1p_667
ses-G220908+1p+711	ses-G220908:1p_711
ses-G220908+1p+786	ses-G220908:1p_786
ses-G220908+1p+850	ses-G220908:1p_850
ses-G220908+1p+898	ses-G220908:1p_898
ses-G220908+1p+915	ses-G220908:1p_915
ses-G220908+1p+930	ses-G220908:1p_930
ses-G220908+1p+960	ses-G220908:1p_960
ses-G220908+2p+0	ses-G220908:2p_0
ses-G220908+2p+146	ses-G220908:2p_146
ses-G220908+2p+174	ses-G220908:2p_174
ses-G220908+2p+189	ses-G220908:2p_189
ses-G220908+2p+249	ses-G220908:2p_249
ses-G220908+3p+108	ses-G220908:3p_108
ses-G220908+3p+149	ses-G220908:3p_149
ses-G220908+3p+181	ses-G220908:3p_181
ses-G220908+3p+306	ses-G220908:3p_306
ses-G220908+3p+318	ses-G220908:3p_318
ses-G220908+3p+35	ses-G220908:3p_35
ses-G220908+3p+75	ses-G220908:3p_75
ses-G220908+4p+495	ses-G220908:4p_495
ses-G220908+4p+535	ses-G220908:4p_535
ses-G220908+4p+707	ses-G220908:4p_707
